COD;NOME_LOCAL;COD_LOCAL;NIVEL
10755;GUIA LOPES DA LAGUNA;543;S
10760;PIRACANJUBA;544;S
10765;VALENCA;545;S
10770;CAIAPONIA;546;S
10775;ICO;547;S
10780;IRECE;548;S
10785;ILHA DO GOVERNADOR;549;S
10790;BOM CONSELHO;550;S
10795;RONDONOPOLIS;551;S
10800;COXIM;552;S
10805;POXOREU;553;S
10810;EMPRESA IMPERATRIZ;554;S
10815;ALENQUER;555;S
10820;POCOES;556;S
10825;ANICUNS;557;S
10830;BREVES;558;S
10835;ITAPURANGA;559;S
10840;SAO JOAO NEPOMUCENO;560;S
10845;SAO FRANCISCO ASSIS;561;S
10850;ITAPECURU-MIRIM;562;S
10855;SANTO ANTONIO JESUS;563;S
10860;IBICARAI;564;S
10865;MARABA;565;S
10870;PINHEIRO;566;S
10875;ALTAMIRA;567;S
10880;GRAJAU;568;S
10885;SANTA MARIA VITORIA;569;S
10890;AFOGADOS INGAZEIRA;570;S
10895;BARRA DO GARCAS;571;S
10900;GOIANDIRA;572;S
10905;LENCOIS PAULISTA;573;S
10910;PINDAMONHANGABA;574;S
10915;GRAMADO;575;S
10920;EMPRESA PENHA-RJ;576;S
10940;TEFE;577;S
10945;MOGI-MIRIM;578;S
10950;CARAVELAS;579;S
10955;MOREIRA SALES;580;S
10960;ORIZONA;581;S
10965;SURUBIM;582;S
10970;TATUAPE;583;S
10975;VILA MARIA;584;S
10980;CATOLE DO ROCHA;585;S
10985;XANXERE;586;S
10990;TOLEDO;587;S
10995;BOM DESPACHO;588;S
11000;BOM JESUS;589;S
11005;BREJO;590;S
11010;CONCEICAO M.DENTRO;591;S
11015;VILA MILITAR;592;S
11020;IRARA;593;S
11025;REMANSO;594;S
11030;RUY BARBOSA;595;S
11035;URUCUI;596;S
11040;ZONA SUL-RJ;597;S
11045;LEBLON;598;S
11050;SAO MIGUEL DO OESTE;599;S
11055;ARARIPINA;600;S
11060;COARACI;601;S
11065;IBAITI;602;S
11070;SAO JOAO DOS PATOS;603;S
11075;VERANOPOLIS;604;S
11080;CABROBO;605;S
11085;POSSE;606;S
11090;CONSELHEIRO PENA;607;S
11095;SAO JOSE DO EGITO;608;S
11100;CORRENTE;609;S
11105;ESPLANADA;610;S
11110;ESTANCIA VELHA;611;S
11115;NOSSA SENHORA GLORIA;612;S
11120;SANTA INES;613;S
11125;NOVA CRUZ;614;S
11130;PALMAS;615;S
11135;FRANCISCO BELTRAO;616;S
11140;CANGUCU;617;S
11145;CIANORTE;618;S
11150;JULIO DE CASTILHOS;619;S
11160;NOVA LONDRINA;620;S
11165;PAULO AFONSO;621;S
11170;TANABI;622;S
11175;MIRANDA;623;S
11180;CASSIA;624;S
11185;SAPE;625;S
11190;CANDELARIA-RS;626;S
11195;RIO BONITO;627;S
11200;VIAMAO;628;S
11205;TIMBO;629;S
11210;LAPA;630;S
11215;AGUDOS;631;S
11220;IPORA;632;S
11225;IVAIPORA;633;S
11230;PIANCO;634;S
11235;CAMBUCI;635;S
11240;GUARULHOS;636;S
11250;OSASCO;637;S
11255;ARAGUAINA;638;S
11260;JUSSARA;639;S
11265;BREJO SANTO;640;S
11270;GUAIRA;641;S
11275;JARAGUA;642;S
11280;TAMOIOS;643;S
11295;CAPINZAL;644;S
11300;UMUARAMA;645;S
11305;ANA ROSA;646;S
11310;VILA PRUDENTE;647;S
11320;ITANHANDU;649;S
11325;PRATA;650;S
11330;IPANEMA;651;S
11335;RIBEIRAO DO PINHAL;652;S
11340;SAPIRANGA;653;S
11345;MUZAMBINHO;654;S
11350;SAO MATEUS DO SUL;655;S
11355;SAO JOAQUIM;656;S
11360;CUITE;657;S
11370;MINEIROS;659;S
11380;PASSO DA AREIA;661;S
11385;POCONE;662;S
11390;CEAGESP;663;S
11395;BELA VISTA PARAISO;664;S
11400;TELEMACO BORBA;665;S
11405;SANTA FE DO SUL;666;S
11415;ROSARIO OESTE;667;S
11420;GOIANESIA;668;S
11425;ANTONIO PRADO;669;S
11430;CACAPAVA DO SUL;670;S
11435;TAQUARI;671;S
11440;VENANCIO AIRES;672;S
11445;CARPINA;673;S
11450;SAO BENTO DO SUL;674;S
11455;PRACA DOS CORREIOS;675;S
11460;PARANACITY;676;S
11465;IBIRUBA;677;S
11470;TAPERA;678;S
11475;CERRO LARGO;679;S
11480;FREDERICO WESTPHALEN;680;S
11485;MAUA;681;S
11490;TRES DE MAIO;682;S
11495;JACAREI;683;S
11500;RIACHAO DO JACUIPE;684;S
11505;CAMPOS NOVOS;685;S
11510;NOVA IORQUE EUA;686;S
11515;FREGUESIA DO O;687;S
11520;ABAETE;688;S
11525;MACARANI;689;S
11530;SANTA HELENA GOIAS;690;S
11535;CAMPINA VERDE;691;S
11540;PORTEIRINHA;692;S
11545;CASTRO ALVES;693;S
11550;OSORIO;694;S
11555;CAMPO LARGO;695;S
11560;IBIRAMA;696;S
11565;SETE DE SETEMBRO;697;S
11570;CANELA;698;S
11575;CAPIVARI;699;S
11580;ACOPIARA;700;S
11585;SANTA CRUZ;701;S
11590;NOVA VENECIA;702;S
11595;WENCESLAU BRAZ;703;S
11600;PONTALINA;704;S
11605;GIRUA;705;S
11610;APARECIDA DO TABOADO;706;S
11615;FAXINAL DO SOTURNO;707;S
11620;CASTANHAL;708;S
11625;PANAMBI;709;S
11630;BARREIROS;710;S
11635;STA.CRUZ CAPIBARIBE;711;S
11640;AVENIDA PAULISTA;712;S
11645;TIETE;713;S
11650;CABO;714;S
11655;SAO SEBASTIAO-SP;715;S
11660;ALECRIM;716;S
11665;DIADEMA;717;S
11670;SUZANO;718;S
11675;BELENZINHO;719;S
11680;FRANKFURT ALEMANHA;720;S
11685;BELO JARDIM;721;S
11690;MOEMA;722;S
11695;PINHEIRO MACHADO;723;S
11700;SAO FRANCISCO PAULA;724;S
11705;FLORES DA CUNHA;725;S
11710;MARAU;726;S
11715;JOAO CAMARA;727;S
11720;NOVA ANDRADINA;728;S
11725;ITAGUAI;729;S
11730;BRUMADO;730;S
11735;SANANDUVA;731;S
11740;SANTO AUGUSTO;732;S
11745;CAMPOS SALES;733;S
11750;LARANJEIRAS DO SUL;734;S
11755;MEDIANEIRA;735;S
11760;PALMITOS;736;S
11765;TANGARA;737;S
11770;BRACO DO NORTE;738;S
11775;LONDRES INGLATERRA;739;S
11780;RIO BRILHANTE;740;S
11785;TERESOPOLIS;741;S
11790;PORTO MURTINHO;742;S
11795;AMAMBAI;743;S
11800;BOM JESUS DA LAPA;744;S
11805;CACEQUI;745;S
11810;BORRAZOPOLIS;746;S
11815;UBIRATA;747;S
11820;BOM JESUS;748;S
11825;PARAUNA;749;S
11830;BETIM;750;S
11835;SAO JOAO DE MERITI;751;S
11840;SETOR CAMPINAS;752;S
11845;RIO VERDE M.GROSSO;753;S
11850;ITAITUBA;754;S
11855;CAMPO BOM;755;S
11865;PORTAO-CURITIBA;756;S
11870;SAO MIGUEL ARAGUAIA;757;S
11875;MOMBACA;758;S
11880;SOUSA;759;S
11885;TOQUIO JAPAO;760;S
11890;AFONSO CLAUDIO;761;S
11895;PARIS FRANCA;762;S
11900;LISBOA PORTUGAL;763;S
11905;ESTEIO;764;S
11910;CANUDOS-PA;765;S
11915;LEME;766;S
11920;ITABIRA;767;S
11925;CAMBE;768;S
11930;NATIVIDADE;769;S
11935;PANAMA PANAMA;770;S
11945;MARCELINO RAMOS;772;S
11950;MANDAGUACU;773;S
11955;TABATINGA;774;S
11960;TOBIAS BARRETO;775;S
11965;SAO JOSE DO CEDRO;776;S
11970;SAO LOURENCO OESTE;777;S
11975;TORRES;778;S
11980;AJURICABA;779;S
11985;RUBIATABA;780;S
11990;ANDRADAS;781;S
11995;BARRA DO CORDA;782;S
12000;CAMETA;783;S
12005;CAPINOPOLIS;784;S
12010;CASTELO-ES;785;S
12015;CIDADE GAUCHA;786;S
12020;DIAMANTINO;787;S
12025;ELESBAO VELOSO;788;S
12030;ENGENHEIRO BELTRAO;789;S
12035;ESPUMOSO;790;S
12040;EUCLIDES DA CUNHA;791;S
12045;EUNAPOLIS;792;S
12050;GLORIA DE DOURADOS;793;S
12055;GURUPI;794;S
12060;HORIZONTINA;795;S
12065;IPORA;796;S
12070;ITAIOPOLIS;797;S
12075;ITAPIRANGA;798;S
12080;ITATIBA;799;S
12085;JOAO PINHEIRO;800;S
12090;LAVRAS DO SUL;801;S
12095;MONTANHA-ES;802;S
12100;NILOPOLIS;803;S
12105;PARAISO DO TOCANTINS;804;S
